Date,Location,Average,Lowest,Heigest,Capacity(ins),Capacity(Power),Max Power,Power Reserve,Power Reserve Ratio(%),Max Power Time
"2013-06-13",108,23,18.8,27.5,83749,71175,66272,4903,7.4,2013/06/13(15:00)
"2013-06-14",108,24.6,20.9,29.7,83749,71209,66475,4734,7.1,2013/06/14(15:00)
"2013-06-15",108,24.6,21.3,29.1,83749,67663,60427,7236,12,2013/06/15(15:00)
"2013-06-16",108,22.5,19.8,27.5,83749,66461,53717,12744,23.7,2013/06/16(21:00)
"2013-06-17",108,22.3,19.9,25.8,83749,70892,66566,4326,6.5,2013/06/17(15:00)
"2013-06-18",108,21.7,20.5,23.1,83749,72031,66929,5102,7.6,2013/06/18(15:00)
"2013-06-19",108,24.3,20.6,29.6,83749,71872,67156,4716,7,2013/06/19(17:00)
"2013-06-20",108,25.8,20.9,31.1,83749,72028,67488,4540,6.7,2013/06/20(15:00)
"2013-06-21",108,26.6,22.9,31.8,83749,71563,67030,4533,6.8,2013/06/21(12:00)
"2013-06-22",108,25.1,22.7,29.6,83749,68979,60744,8235,13.6,2013/06/22(12:00)
"2013-06-23",108,22.9,20.6,26.2,83749,68226,52918,15308,28.9,2013/06/23(21:00)
"2013-06-24",108,23.5,19.6,29.4,83749,72501,67212,5289,7.9,2013/06/24(15:00)
"2013-06-25",108,25.1,21,29.8,83749,73751,67878,5873,8.7,2013/06/25(15:00)
"2013-06-26",108,24.5,21.1,29.7,83749,73582,67914,5668,8.3,2013/06/26(15:00)
"2013-06-27",108,25.1,20.4,31.8,83749,73565,68472,5093,7.4,2013/06/27(15:00)
"2013-06-28",108,25.5,21.5,30.6,83749,74174,68422,5752,8.4,2013/06/28(15:00)
"2013-06-29",108,27.2,21.8,32.6,84371,71110,60959,10151,16.7,2013/06/29(15:00)
"2013-06-30",108,27.7,23.4,31.9,84371,71912,55838,16074,28.8,2013/06/30(21:00)
"2013-07-01",108,27.1,23.9,31.3,84371,74572,68943,5629,8.2,2013/07/01(17:00)
"2013-07-02",108,24.3,21.5,27.9,84371,75086,69401,5685,8.2,2013/07/02(15:00)
"2013-07-03",108,25.2,20.5,30.7,84371,75380,69222,6158,8.9,2013/07/03(15:00)
"2013-07-04",108,24.9,23.1,27.6,84371,75116,69137,5979,8.6,2013/07/04(15:00)
"2013-07-05",108,25.6,22.1,30.2,84371,75373,68039,7334,10.8,2013/07/05(15:00)
"2013-07-06",108,25.2,21.6,30.6,84371,71257,61321,9936,16.2,2013/07/06(15:00)
"2013-07-07",108,24.9,22.4,29.5,84371,70878,55795,15083,27,2013/07/07(21:00)
"2013-07-08",108,24.3,22.3,26.3,84371,74535,68800,5735,8.3,2013/07/08(15:00)
"2013-07-09",108,24.5,23.5,26.2,84862,74322,69627,4695,6.7,2013/07/09(15:00)
"2013-07-10",108,25.3,24.6,26.1,84862,74663,69934,4729,6.8,2013/07/10(15:00)
"2013-07-11",108,24.6,23.8,25.1,84862,74699,70155,4544,6.5,2013/07/11(15:00)
"2013-07-12",108,23.6,23.2,24.3,84862,75197,69699,5498,7.9,2013/07/12(15:00)
"2013-07-13",108,24.2,22.2,25.6,84862,72952,62633,10319,16.5,2013/07/13(12:00)
"2013-07-14",108,24.1,23.1,25.4,84862,73490,56534,16956,30,2013/07/14(21:00)
"2013-07-15",108,26.5,23.6,29.1,84862,76298,71101,5197,7.3,2013/07/15(15:00)
"2013-07-16",108,26.9,25.2,28.8,85358,76548,71529,5019,7,2013/07/16(15:00)
"2013-07-17",108,24.2,23.5,25.7,85358,76169,70143,6026,8.6,2013/07/17(15:00)
"2013-07-18",108,25.1,23.8,27.7,85358,76557,71257,5300,7.4,2013/07/18(15:00)
"2013-07-19",108,26.8,23.3,30.5,85358,76473,72112,4361,6,2013/07/19(15:00)
"2013-07-20",108,27,25.3,30.3,85358,74576,64473,10103,15.7,2013/07/20(12:00)
"2013-07-21",108,26.8,25.6,28.4,85358,74678,59289,15389,26,2013/07/21(21:00)
"2013-07-22",108,26.4,24.1,29.4,85358,78357,71648,6709,9.4,2013/07/22(15:00)
"2013-07-23",108,25.7,24.7,26.4,85358,78240,70119,8121,11.6,2013/07/23(11:00)
"2013-07-24",108,24.7,23.2,27.6,85358,78156,69230,8926,12.9,2013/07/24(15:00)
"2013-07-25",108,26,22.9,30.2,85358,77766,69868,7898,11.3,2013/07/25(15:00)
"2013-07-26",108,26.5,23.1,31.1,85358,77440,70324,7116,10.1,2013/07/26(15:00)
"2013-07-27",108,26.2,23.1,31.2,85358,75708,62688,13020,20.8,2013/07/27(12:00)
"2013-07-28",108,25.3,23.9,26.7,85358,75479,58219,17260,29.6,2013/07/28(21:00)
"2013-07-29",108,26.5,24.4,29.6,85516,77106,68634,8472,12.3,2013/07/29(15:00)
"2013-07-30",108,26.3,24,29.9,85516,77429,67939,9490,14,2013/07/30(15:00)
"2013-07-31",108,26.4,24.7,29,85516,77465,65764,11701,17.8,2013/07/31(15:00)
"2013-08-01",108,28,24.5,32.1,85516,76416,63959,12457,19.5,2013/08/01(15:00)
"2013-08-02",108,27.4,25.2,29.3,85516,75609,62649,12960,20.7,2013/08/02(15:00)
"2013-08-03",108,28.9,26.7,32.6,85516,73083,59182,13901,23.5,2013/08/03(14:00)
"2013-08-04",108,28.3,26.4,31.3,85516,74017,58813,15204,25.9,2013/08/04(21:00)
"2013-08-05",108,27.7,26.4,30.1,85516,77532,67856,9676,14.3,2013/08/05(15:00)
"2013-08-06",108,26.4,23,27.6,85516,77895,68852,9043,13.1,2013/08/06(12:00)
"2013-08-07",108,28.7,25,32.1,85516,77831,71825,6006,8.4,2013/08/07(15:00)
"2013-08-08",108,29.3,27.3,32.8,85516,78056,73819,4237,5.7,2013/08/08(17:00)
"2013-08-09",108,29.2,27.9,30.8,85516,78046,73600,4446,6,2013/08/09(15:00)
"2013-08-10",108,28,25.8,29.4,85516,75710,67476,8234,12.2,2013/08/10(12:00)
"2013-08-11",108,28.7,24.2,33.2,85516,74960,62837,12123,19.3,2013/08/11(21:00)
"2013-08-12",108,29.3,27.1,32.6,85516,77413,73302,4111,5.6,2013/08/12(12:00)
"2013-08-13",108,29,26.6,32.9,85516,77039,72615,4424,6.1,2013/08/13(15:00)
"2013-08-14",108,28.6,26.2,32,85516,77778,72501,5277,7.3,2013/08/14(12:00)
"2013-08-15",108,28.7,25.8,32.4,85516,77233,69027,8206,11.9,2013/08/15(15:00)
"2013-08-16",108,28.7,26.1,31.7,85516,78167,73216,4951,6.8,2013/08/16(12:00)
"2013-08-17",108,28.7,27.1,31.6,85516,75968,67118,8850,13.2,2013/08/17(15:00)
"2013-08-18",108,28.3,26,31.5,85516,76922,62710,14212,22.7,2013/08/18(21:00)
"2013-08-19",108,28.2,25.7,32.3,86136,78734,74015,4719,6.4,2013/08/19(15:00)
"2013-08-20",108,27.4,23,32.3,86136,77908,73315,4593,6.3,2013/08/20(15:00)
"2013-08-21",108,28.8,24.2,33.9,86136,76982,73266,3716,5.1,2013/08/21(15:00)
"2013-08-22",108,29.3,26.3,32.3,86136,77631,73657,3974,5.4,2013/08/22(15:00)
"2013-08-23",108,25.7,23.7,28.7,86136,77072,70527,6545,9.3,2013/08/23(12:00)
"2013-08-24",108,26.6,21.9,31.5,86136,74834,63061,11773,18.7,2013/08/24(12:00)
"2013-08-25",108,27.1,22,32.1,86136,75963,56316,19647,34.9,2013/08/25(21:00)
"2013-08-26",108,27,22.8,31.6,86136,77747,69003,8744,12.7,2013/08/26(15:00)
"2013-08-27",108,25.6,22.5,29.3,86136,77414,69286,8128,11.7,2013/08/27(15:00)
"2013-08-28",108,26.4,22.7,30.8,86136,76429,69475,6954,10,2013/08/28(15:00)
"2013-08-29",108,25.5,24.5,26.7,86136,75951,69623,6328,9.1,2013/08/29(12:00)
"2013-08-30",108,25.1,22.3,28.3,86136,75588,68095,7493,11,2013/08/30(15:00)
"2013-08-31",108,24,21.1,27.9,86136,72611,59493,13118,22,2013/08/31(15:00)
"2013-09-01",108,23.5,19.8,28.2,86136,73229,54172,19057,35.2,2013/09/01(20:00)
"2013-09-02",108,22.4,17.3,26.9,86136,76908,65238,11670,17.9,2013/09/02(15:00)
"2013-09-03",108,21.7,16.4,26.8,86136,76614,63488,13126,20.7,2013/09/03(11:00)
"2013-09-04",108,22,16.4,27.5,86136,77502,64303,13199,20.5,2013/09/04(17:00)
"2013-09-05",108,21.2,17.9,24.1,86136,77473,63323,14150,22.3,2013/09/05(15:00)
"2013-09-06",108,20.8,19,23.1,86136,77824,62697,15127,24.1,2013/09/06(11:00)
"2013-09-07",108,21.9,17.9,26.9,86136,74006,57341,16665,29.1,2013/09/07(15:00)
"2013-09-08",108,22.9,18.4,27.9,86136,73747,53099,20648,38.9,2013/09/08(20:00)
"2013-09-09",108,23,19.8,26.5,86136,75557,65106,10451,16.1,2013/09/09(15:00)
"2013-09-10",108,22,19.1,25.2,86136,76594,65504,11090,16.9,2013/09/10(17:00)
"2013-09-11",108,20.1,19.1,20.9,86136,76738,66061,10677,16.2,2013/09/11(17:00)
